column,dtype,pct_non_null,is_constant
away_fg_missed_list_matchup_roll5,float64,41.5,False
away_fg_missed_list_produced_ewma,float64,93.7,False
away_fg_missed_list_produced_roll5,float64,64.0,False
away_fg_missed_matchup_ewma,float64,95.2,False
away_fg_missed_matchup_roll5,float64,95.2,False
away_fg_missed_produced_ewma,float64,95.2,False
away_fg_missed_produced_roll5,float64,95.2,False
away_fg_pct_allowed_ewma,float64,99.5,False
away_fg_pct_allowed_roll5,float64,99.4,False
away_fg_pct_matchup_ewma,float64,95.1,False
away_fg_pct_matchup_roll5,float64,95.1,False
away_fg_pct_produced_ewma,float64,95.2,False
away_fg_pct_produced_roll5,float64,95.2,False
away_fumble_recovery_opp_allowed_ewma,float64,99.5,False
away_fumble_recovery_opp_allowed_roll5,float64,99.5,False
away_fumble_recovery_opp_matchup_ewma,float64,95.2,False
away_fumble_recovery_opp_matchup_roll5,float64,95.2,False
away_fumble_recovery_opp_produced_ewma,float64,95.2,False
away_fumble_recovery_opp_produced_roll5,float64,95.2,False
away_fumble_recovery_own_allowed_ewma,float64,99.5,False
away_fumble_recovery_own_allowed_roll5,float64,99.5,False
away_fumble_recovery_own_matchup_ewma,float64,95.2,False
away_fumble_recovery_own_matchup_roll5,float64,95.2,False
away_fumble_recovery_own_produced_ewma,float64,95.2,False
away_fumble_recovery_own_produced_roll5,float64,95.2,False
away_fumble_recovery_tds_allowed_ewma,float64,99.5,False
away_fumble_recovery_tds_allowed_roll5,float64,99.5,False
away_fumble_recovery_tds_matchup_ewma,float64,95.2,False
away_fumble_recovery_tds_matchup_roll5,float64,95.2,False
away_fumble_recovery_tds_produced_ewma,float64,95.2,False
away_fumble_recovery_tds_produced_roll5,float64,95.2,False
away_fumble_recovery_yards_opp_allowed_ewma,float64,99.5,False
away_fumble_recovery_yards_opp_allowed_roll5,float64,99.5,False
away_fumble_recovery_yards_opp_matchup_ewma,float64,95.2,False
away_fumble_recovery_yards_opp_matchup_roll5,float64,95.2,False
away_fumble_recovery_yards_opp_produced_ewma,float64,95.2,False
away_fumble_recovery_yards_opp_produced_roll5,float64,95.2,False
away_fumble_recovery_yards_own_allowed_ewma,float64,99.5,False
away_fumble_recovery_yards_own_allowed_roll5,float64,99.5,False
away_fumble_recovery_yards_own_matchup_ewma,float64,95.2,False
away_fumble_recovery_yards_own_matchup_roll5,float64,95.2,False
away_fumble_recovery_yards_own_produced_ewma,float64,95.2,False
away_fumble_recovery_yards_own_produced_roll5,float64,95.2,False
away_fumbles_forced_by_opp_allowed_ewma,float64,99.5,False
away_fumbles_forced_by_opp_allowed_roll5,float64,99.5,False
away_fumbles_forced_by_opp_matchup_ewma,float64,95.2,False
away_fumbles_forced_by_opp_matchup_roll5,float64,95.2,False
away_fumbles_forced_by_opp_produced_ewma,float64,95.2,False
away_fumbles_forced_by_opp_produced_roll5,float64,95.2,False
away_fumbles_lost_total_allowed_ewma,float64,99.5,False
away_fumbles_lost_total_allowed_roll5,float64,99.5,False
away_fumbles_lost_total_matchup_ewma,float64,95.2,False
away_fumbles_lost_total_matchup_roll5,float64,95.2,False
away_fumbles_lost_total_produced_ewma,float64,95.2,False
away_fumbles_lost_total_produced_roll5,float64,95.2,False
away_fumbles_not_forced_allowed_ewma,float64,99.5,False
away_fumbles_not_forced_allowed_roll5,float64,99.5,False
away_fumbles_not_forced_matchup_ewma,float64,95.2,False
away_fumbles_not_forced_matchup_roll5,float64,95.2,False
away_fumbles_not_forced_produced_ewma,float64,95.2,False
away_fumbles_not_forced_produced_roll5,float64,95.2,False
away_fumbles_out_of_bounds_allowed_ewma,float64,99.5,False
away_fumbles_out_of_bounds_allowed_roll5,float64,99.5,False
away_fumbles_out_of_bounds_matchup_ewma,float64,95.2,False
away_fumbles_out_of_bounds_matchup_roll5,float64,95.2,False
away_fumbles_out_of_bounds_produced_ewma,float64,95.2,False
away_fumbles_out_of_bounds_produced_roll5,float64,95.2,False
away_fumbles_total_allowed_ewma,float64,99.5,False
away_fumbles_total_allowed_roll5,float64,99.5,False
away_fumbles_total_matchup_ewma,float64,95.2,False
away_fumbles_total_matchup_roll5,float64,95.2,False
away_fumbles_total_produced_ewma,float64,95.2,False
away_fumbles_total_produced_roll5,float64,95.2,False
away_gwfg_att_allowed_ewma,float64,99.5,False
away_gwfg_att_allowed_roll5,float64,99.5,False
away_gwfg_att_matchup_ewma,float64,95.2,False
away_gwfg_att_matchup_roll5,float64,95.2,False
away_gwfg_att_produced_ewma,float64,95.2,False
away_gwfg_att_produced_roll5,float64,95.2,False
away_gwfg_blocked_allowed_ewma,float64,99.5,False
away_gwfg_blocked_allowed_roll5,float64,99.5,False
away_gwfg_blocked_matchup_ewma,float64,95.2,False
away_gwfg_blocked_matchup_roll5,float64,95.2,False
away_gwfg_blocked_produced_ewma,float64,95.2,False
away_gwfg_blocked_produced_roll5,float64,95.2,False
away_gwfg_distance_allowed_ewma,float64,99.5,False
away_gwfg_distance_allowed_roll5,float64,99.5,False
away_gwfg_distance_matchup_ewma,float64,95.2,False
away_gwfg_distance_matchup_roll5,float64,95.2,False
away_gwfg_distance_produced_ewma,float64,95.2,False
away_gwfg_distance_produced_roll5,float64,95.2,False
away_gwfg_made_allowed_ewma,float64,99.5,False
away_gwfg_made_allowed_roll5,float64,99.5,False
away_gwfg_made_matchup_ewma,float64,95.2,False
away_gwfg_made_matchup_roll5,float64,95.2,False
away_gwfg_made_produced_ewma,float64,95.2,False
away_gwfg_made_produced_roll5,float64,95.2,False
away_gwfg_missed_allowed_ewma,float64,99.5,False
away_gwfg_missed_allowed_roll5,float64,99.5,False
away_gwfg_missed_matchup_ewma,float64,95.2,False
away_gwfg_missed_matchup_roll5,float64,95.2,False
away_gwfg_missed_produced_ewma,float64,95.2,False
away_gwfg_missed_produced_roll5,float64,95.2,False
away_kickoff_return_yards_allowed_ewma,float64,99.5,False
away_kickoff_return_yards_allowed_roll5,float64,99.5,False
away_kickoff_return_yards_matchup_ewma,float64,95.2,False
away_kickoff_return_yards_matchup_roll5,float64,95.2,False
away_kickoff_return_yards_produced_ewma,float64,95.2,False
away_kickoff_return_yards_produced_roll5,float64,95.2,False
away_kickoff_returns_allowed_ewma,float64,99.5,False
away_kickoff_returns_allowed_roll5,float64,99.5,False
away_kickoff_returns_matchup_ewma,float64,95.2,False
away_kickoff_returns_matchup_roll5,float64,95.2,False
away_kickoff_returns_produced_ewma,float64,95.2,False
away_kickoff_returns_produced_roll5,float64,95.2,False
away_misc_yards_allowed_ewma,float64,99.5,False
away_misc_yards_allowed_roll5,float64,99.5,False
away_misc_yards_matchup_ewma,float64,95.2,False
away_misc_yards_matchup_roll5,float64,95.2,False
away_misc_yards_produced_ewma,float64,95.2,False
away_misc_yards_produced_roll5,float64,95.2,False
away_moneyline,float64,100.0,False
away_passing_10_allowed_ewma,float64,99.5,False
away_passing_10_allowed_roll5,float64,99.5,False
away_passing_10_matchup_ewma,float64,95.2,False
away_passing_10_matchup_roll5,float64,95.2,False
away_passing_10_produced_ewma,float64,95.2,False
away_passing_10_produced_roll5,float64,95.2,False
away_passing_16_allowed_ewma,float64,99.5,False
away_passing_16_allowed_roll5,float64,99.5,False
away_passing_16_matchup_ewma,float64,95.2,False
away_passing_16_matchup_roll5,float64,95.2,False
away_passing_16_produced_ewma,float64,95.2,False
away_passing_16_produced_roll5,float64,95.2,False
away_passing_20_allowed_ewma,float64,99.5,False
away_passing_20_allowed_roll5,float64,99.5,False
away_passing_20_matchup_ewma,float64,95.2,False
away_passing_20_matchup_roll5,float64,95.2,False
away_passing_20_produced_ewma,float64,95.2,False
away_passing_20_produced_roll5,float64,95.2,False
away_passing_2pt_conversions_allowed_ewma,float64,99.5,False
away_passing_2pt_conversions_allowed_roll5,float64,99.5,False
away_passing_2pt_conversions_matchup_ewma,float64,95.2,False
away_passing_2pt_conversions_matchup_roll5,float64,95.2,False
away_passing_2pt_conversions_produced_ewma,float64,95.2,False
away_passing_2pt_conversions_produced_roll5,float64,95.2,False
away_passing_40_allowed_ewma,float64,99.5,False
away_passing_40_allowed_roll5,float64,99.5,False
away_passing_40_matchup_ewma,float64,95.2,False
away_passing_40_matchup_roll5,float64,95.2,False
away_passing_40_produced_ewma,float64,95.2,False
away_passing_40_produced_roll5,float64,95.2,False
away_passing_air_yards_allowed_ewma,float64,99.5,False
away_passing_air_yards_allowed_roll5,float64,99.5,False
away_passing_air_yards_matchup_ewma,float64,95.2,False
away_passing_air_yards_matchup_roll5,float64,95.2,False
away_passing_air_yards_per_attempt_allowed_ewma,float64,99.5,False
away_passing_air_yards_per_attempt_allowed_roll5,float64,99.5,False
away_passing_air_yards_per_attempt_matchup_ewma,float64,95.2,False
away_passing_air_yards_per_attempt_matchup_roll5,float64,95.2,False
away_passing_air_yards_per_attempt_produced_ewma,float64,95.2,False
